model_id,boundary,backend,artifact_stage,status,reason,item_id,expectation,artifact_path,receipt_path,identity,evidence_origin,compiler_dispatch_allowed,runtime_artifact_available
yolo11l,b062,deepx,part1,UNKNOWN,required_artifact_cache_probe_missing,b062:part1,unspecified,,,,,False,False
yolo11l,b062,tensorrt,part2,HIT,compatible_receipt,orin_nx_deepx_m1_01/b062,unspecified,/home/nx/splitpoint_runs/_onnx_splitpoint_cache/tensorrt_managed_v27516/yolo11l-b479a219175b061f/splits/b062/part2/8ae1d799e9c1bfca498f5250bbea975202dd1f798d3497f84f3fc130f589f7ff/fp16/part2_fp16.engine,/home/nx/splitpoint_runs/_onnx_splitpoint_cache/tensorrt_managed_v27516/yolo11l-b479a219175b061f/splits/b062/part2/8ae1d799e9c1bfca498f5250bbea975202dd1f798d3497f84f3fc130f589f7ff/fp16/engine_build_receipt.json,a84efda2bb8c2059baf9b3c9690d2a789ad27fcf744dfda5a6c77433377fc7d1,,False,True
yolo11l,b062,tensorrt,part2,MISS,source_onnx_mismatch,orin_nx_hailo10_01/b062,unspecified,,,,,True,False
yolo11l,b062,tensorrt,part2,MISS,source_onnx_mismatch,orin_nx_hailo8_01/b062,unspecified,,,,,True,False
yolo11l,full,hailo8,full,HIT,existing_hailo_receipt_valid,full,unspecified,/home/kmika/Models/EvaluationRuns/complete_set_20260907_161614/models/yolo11l/benchmark_set/legacy_suite/hailo/hailo8/full/.hailo-generations/12971fb91b8946d3875c9816e0250a1d/compiled.hef,/home/kmika/Models/EvaluationRuns/complete_set_20260907_161614/models/yolo11l/benchmark_set/legacy_suite/hailo/hailo8/full/.hailo-generations/12971fb91b8946d3875c9816e0250a1d/hailo_hef_build_receipt.json,2f86189c3fd6724427c1f65af30960f9b76e2ae5f5122f2b9e04b1aec24fb509,,False,True
yolo11l,full,hailo10h,full,HIT,existing_hailo_receipt_valid,full,unspecified,/home/kmika/Models/EvaluationRuns/complete_set_20260907_161614/models/yolo11l/benchmark_set/legacy_suite/hailo/hailo10/full/.hailo-generations/e6b8667051f0455abfee57e42d9c01c2/compiled.hef,/home/kmika/Models/EvaluationRuns/complete_set_20260907_161614/models/yolo11l/benchmark_set/legacy_suite/hailo/hailo10/full/.hailo-generations/e6b8667051f0455abfee57e42d9c01c2/hailo_hef_build_receipt.json,fc920bd8126a45a904b0fcdda6199154f067f3a767786190952770d642ea2ea5,,False,True
yolo11l,full,deepx,full,HIT,artifact_identity_verified,full,unspecified,/home/kmika/Models/BackendArtifacts/deepx/deepx_m1_full_f0fcdf56a4ac24d8_958dacf708b58fc3/model.dxnn,,deepx_m1_full_f0fcdf56a4ac24d8_958dacf708b58fc3,,False,True
yolo11l,full,tensorrt,full,HIT,compatible_receipt,orin_nx_deepx_m1_01/full,unspecified,/home/nx/splitpoint_runs/_onnx_splitpoint_cache/tensorrt_managed_v27516/yolo11l-b479a219175b061f/full/f0fcdf56a4ac24d87ec30c627170492ccad9db80486ec5694df6de65c1b3d147/fp16/full_fp16.engine,/home/nx/splitpoint_runs/_onnx_splitpoint_cache/tensorrt_managed_v27516/yolo11l-b479a219175b061f/full/f0fcdf56a4ac24d87ec30c627170492ccad9db80486ec5694df6de65c1b3d147/fp16/engine_build_receipt.json,cd4f8433bca6e8d1ddb7952b045fb8e57d75a017c27b90d7299fa1ba3a9c39bc,,False,True
yolo11l,full,tensorrt,full,HIT,compatible_receipt,orin_nx_hailo10_01/full,unspecified,/home/nx/splitpoint_runs/_onnx_splitpoint_cache/tensorrt_managed_v27516/yolo11l-b479a219175b061f/full/f0fcdf56a4ac24d87ec30c627170492ccad9db80486ec5694df6de65c1b3d147/fp16/full_fp16.engine,/home/nx/splitpoint_runs/_onnx_splitpoint_cache/tensorrt_managed_v27516/yolo11l-b479a219175b061f/full/f0fcdf56a4ac24d87ec30c627170492ccad9db80486ec5694df6de65c1b3d147/fp16/engine_build_receipt.json,6192f925a05cd779a1f893b6babb8393faee83d970a00d45afbfb31732a50e9f,,False,True
yolo11l,full,tensorrt,full,HIT,compatible_receipt,orin_nx_hailo8_01/full,unspecified,/home/nx/splitpoint_runs/_onnx_splitpoint_cache/tensorrt_managed_v27516/yolo11l-b479a219175b061f/full/f0fcdf56a4ac24d87ec30c627170492ccad9db80486ec5694df6de65c1b3d147/fp16/full_fp16.engine,/home/nx/splitpoint_runs/_onnx_splitpoint_cache/tensorrt_managed_v27516/yolo11l-b479a219175b061f/full/f0fcdf56a4ac24d87ec30c627170492ccad9db80486ec5694df6de65c1b3d147/fp16/engine_build_receipt.json,53204772aa723b44bb3cb9b6b562fe0be7e6859582753cd99492a4b0f022c23c,,False,True
