backend,case_id,contract_comparison_conflicts,decomposition_source,full_onnx_AP50,full_onnx_AP75,full_onnx_COCO_AP_50_95,full_onnx_Top1,full_onnx_Top5,model,reference_identity,setup_id,split_AP50,split_AP75,split_COCO_AP_50_95,split_Top1,split_Top5,split_extra_loss_AP50,split_extra_loss_AP75,split_extra_loss_COCO_AP_50_95,split_extra_loss_Top1,split_extra_loss_Top5,status,task,total_split_loss_AP50,total_split_loss_AP75,total_split_loss_COCO_AP_50_95,total_split_loss_Top1,total_split_loss_Top5,vendor_full_AP50,vendor_full_AP75,vendor_full_COCO_AP_50_95,vendor_full_Top1,vendor_full_Top5,vendor_loss_AP50,vendor_loss_AP75,vendor_loss_COCO_AP_50_95,vendor_loss_Top1,vendor_loss_Top5
hailo8,b052,[],paired_central_quality_results,,,,0.812,0.952,resnet50,0cdcb06d3774e2a7dd319ff1edbffe5b49432a8b7c8302ecc9ffaceea81a1ea1,orin_nx_hailo8_01,,,,0.798,0.942,,,,-0.01200000000000001,-0.008000000000000007,ok,classification,,,,-0.014000000000000012,-0.010000000000000009,,,,0.81,0.95,,,,-0.0020000000000000018,-0.0020000000000000018
hailo8,b054,[],paired_central_quality_results,,,,0.812,0.952,resnet50,0cdcb06d3774e2a7dd319ff1edbffe5b49432a8b7c8302ecc9ffaceea81a1ea1,orin_nx_hailo8_01,,,,0.802,0.946,,,,-0.008000000000000007,-0.0040000000000000036,ok,classification,,,,-0.010000000000000009,-0.006000000000000005,,,,0.81,0.95,,,,-0.0020000000000000018,-0.0020000000000000018
hailo8,b056,[],paired_central_quality_results,,,,0.812,0.952,resnet50,0cdcb06d3774e2a7dd319ff1edbffe5b49432a8b7c8302ecc9ffaceea81a1ea1,orin_nx_hailo8_01,,,,0.808,0.946,,,,-0.0020000000000000018,-0.0040000000000000036,ok,classification,,,,-0.0040000000000000036,-0.006000000000000005,,,,0.81,0.95,,,,-0.0020000000000000018,-0.0020000000000000018
hailo8,b068,[],paired_central_quality_results,,,,0.812,0.952,resnet50,0cdcb06d3774e2a7dd319ff1edbffe5b49432a8b7c8302ecc9ffaceea81a1ea1,orin_nx_hailo8_01,,,,0.81,0.952,,,,0.0,0.0020000000000000018,ok,classification,,,,-0.0020000000000000018,0.0,,,,0.81,0.95,,,,-0.0020000000000000018,-0.0020000000000000018
hailo8,b074,[],paired_central_quality_results,,,,0.812,0.952,resnet50,0cdcb06d3774e2a7dd319ff1edbffe5b49432a8b7c8302ecc9ffaceea81a1ea1,orin_nx_hailo8_01,,,,0.802,0.95,,,,-0.008000000000000007,0.0,ok,classification,,,,-0.010000000000000009,-0.0020000000000000018,,,,0.81,0.95,,,,-0.0020000000000000018,-0.0020000000000000018
hailo8,b078,[],paired_central_quality_results,,,,0.812,0.952,resnet50,0cdcb06d3774e2a7dd319ff1edbffe5b49432a8b7c8302ecc9ffaceea81a1ea1,orin_nx_hailo8_01,,,,0.806,0.948,,,,-0.0040000000000000036,-0.0020000000000000018,ok,classification,,,,-0.006000000000000005,-0.0040000000000000036,,,,0.81,0.95,,,,-0.0020000000000000018,-0.0020000000000000018
hailo8,b091,[],paired_central_quality_results,,,,0.812,0.952,resnet50,0cdcb06d3774e2a7dd319ff1edbffe5b49432a8b7c8302ecc9ffaceea81a1ea1,orin_nx_hailo8_01,,,,0.8,0.948,,,,-0.010000000000000009,-0.0020000000000000018,ok,classification,,,,-0.01200000000000001,-0.0040000000000000036,,,,0.81,0.95,,,,-0.0020000000000000018,-0.0020000000000000018
hailo8,b095,[],paired_central_quality_results,,,,0.812,0.952,resnet50,0cdcb06d3774e2a7dd319ff1edbffe5b49432a8b7c8302ecc9ffaceea81a1ea1,orin_nx_hailo8_01,,,,0.806,0.946,,,,-0.0040000000000000036,-0.0040000000000000036,ok,classification,,,,-0.006000000000000005,-0.006000000000000005,,,,0.81,0.95,,,,-0.0020000000000000018,-0.0020000000000000018
hailo8,b107,[],paired_central_quality_results,,,,0.812,0.952,resnet50,0cdcb06d3774e2a7dd319ff1edbffe5b49432a8b7c8302ecc9ffaceea81a1ea1,orin_nx_hailo8_01,,,,0.82,0.952,,,,0.009999999999999898,0.0020000000000000018,ok,classification,,,,0.007999999999999896,0.0,,,,0.81,0.95,,,,-0.0020000000000000018,-0.0020000000000000018
hailo8,b112,[],paired_central_quality_results,,,,0.812,0.952,resnet50,0cdcb06d3774e2a7dd319ff1edbffe5b49432a8b7c8302ecc9ffaceea81a1ea1,orin_nx_hailo8_01,,,,0.818,0.952,,,,0.007999999999999896,0.0020000000000000018,ok,classification,,,,0.005999999999999894,0.0,,,,0.81,0.95,,,,-0.0020000000000000018,-0.0020000000000000018
hailo8,b118,[],paired_central_quality_results,,,,0.812,0.952,resnet50,0cdcb06d3774e2a7dd319ff1edbffe5b49432a8b7c8302ecc9ffaceea81a1ea1,orin_nx_hailo8_01,,,,0.814,0.954,,,,0.0039999999999998925,0.0040000000000000036,ok,classification,,,,0.0019999999999998908,0.0020000000000000018,,,,0.81,0.95,,,,-0.0020000000000000018,-0.0020000000000000018
hailo8,b119,[],paired_central_quality_results,,,,0.812,0.952,resnet50,0cdcb06d3774e2a7dd319ff1edbffe5b49432a8b7c8302ecc9ffaceea81a1ea1,orin_nx_hailo8_01,,,,0.816,0.956,,,,0.005999999999999894,0.006000000000000005,ok,classification,,,,0.0039999999999998925,0.0040000000000000036,,,,0.81,0.95,,,,-0.0020000000000000018,-0.0020000000000000018
tensorrt,b001,[],paired_central_quality_results,,,,0.812,0.952,resnet50,0cdcb06d3774e2a7dd319ff1edbffe5b49432a8b7c8302ecc9ffaceea81a1ea1,orin_nx_deepx_m1_01,,,,0.812,0.952,,,,0.0,0.0,ok,classification,,,,0.0,0.0,,,,0.812,0.952,,,,0.0,0.0
tensorrt,b003,[],paired_central_quality_results,,,,0.812,0.952,resnet50,0cdcb06d3774e2a7dd319ff1edbffe5b49432a8b7c8302ecc9ffaceea81a1ea1,orin_nx_deepx_m1_01,,,,0.812,0.952,,,,0.0,0.0,ok,classification,,,,0.0,0.0,,,,0.812,0.952,,,,0.0,0.0
tensorrt,b008,[],paired_central_quality_results,,,,0.812,0.952,resnet50,0cdcb06d3774e2a7dd319ff1edbffe5b49432a8b7c8302ecc9ffaceea81a1ea1,orin_nx_deepx_m1_01,,,,0.812,0.952,,,,0.0,0.0,ok,classification,,,,0.0,0.0,,,,0.812,0.952,,,,0.0,0.0
tensorrt,b009,[],paired_central_quality_results,,,,0.812,0.952,resnet50,0cdcb06d3774e2a7dd319ff1edbffe5b49432a8b7c8302ecc9ffaceea81a1ea1,orin_nx_deepx_m1_01,,,,0.812,0.952,,,,0.0,0.0,ok,classification,,,,0.0,0.0,,,,0.812,0.952,,,,0.0,0.0
