manual_relative_path	family	classification	selected	run_dirs	valid_runs	valid_parquets	valid_parquet_bytes	small_or_bad_parquets	positive_summary_files	explicit_failure_files	copied_files	copied_bytes	reason
orin_nx_hailo10_01/native_hailo10h_to_trt_resnet50_b039/20260702_034656	-	REJECT_FAILED_OR_EMPTY	False	3	0	0	0	3	0	3	0	0	no valid raw trace plus positive energy result
orin_nx_hailo10_01/native_hailo10h_to_trt_resnet50_b052/20260702_035035	-	REJECT_FAILED_OR_EMPTY	False	3	0	0	0	3	0	3	0	0	no valid raw trace plus positive energy result
orin_nx_hailo10_01/native_hailo10h_to_trt_resnet50_b052/20260703_141206	-	REVIEW_VALID_UNCURATED	False	3	3	3	2060095	0	5	0	0	0	valid measurement evidence, but not one of the five preselected families
orin_nx_hailo10_01/native_hailo10h_to_trt_resnet50_b052/20260707_193207	-	REVIEW_VALID_UNCURATED	False	3	3	3	2110362	0	5	0	0	0	valid measurement evidence, but not one of the five preselected families
orin_nx_hailo10_01/native_hailo10h_to_trt_resnet50_b052/20260708_231018	-	REVIEW_VALID_UNCURATED	False	3	3	3	2107757	0	5	0	0	0	valid measurement evidence, but not one of the five preselected families
orin_nx_hailo10_01/native_hailo10h_to_trt_resnet50_b052/20260709_121926	-	REVIEW_VALID_UNCURATED	False	3	3	3	2110407	0	5	0	0	0	valid measurement evidence, but not one of the five preselected families
orin_nx_hailo10_01/native_hailo10h_to_trt_resnet50_b052/20260710_004218	-	REVIEW_VALID_UNCURATED	False	3	3	3	2079683	0	5	0	0	0	valid measurement evidence, but not one of the five preselected families
orin_nx_hailo10_01/native_hailo10h_to_trt_resnet50_b052/20260716_205520	-	REVIEW_VALID_UNCURATED	False	3	3	3	2009319	0	5	0	0	0	valid measurement evidence, but not one of the five preselected families
orin_nx_hailo10_01/native_hailo10h_to_trt_resnet50_b052/20260717_074125	-	REVIEW_VALID_UNCURATED	False	3	3	3	2009571	0	5	0	0	0	valid measurement evidence, but not one of the five preselected families
orin_nx_hailo10_01/native_hailo10h_to_trt_resnet50_b052_orin_nx_hailo10_01/20260717_182212	-	REVIEW_VALID_UNCURATED	False	3	3	3	2064654	0	5	0	0	0	valid measurement evidence, but not one of the five preselected families
orin_nx_hailo10_01/native_hailo10h_to_trt_resnet50_b052_orin_nx_hailo10_01/20260717_212729	-	REVIEW_VALID_UNCURATED	False	1	1	1	700869	0	3	0	0	0	valid measurement evidence, but not one of the five preselected families
orin_nx_hailo10_01/native_hailo10h_to_trt_resnet50_b052_orin_nx_hailo10_01/20260718_071736	-	REVIEW_VALID_UNCURATED	False	1	1	1	698317	0	3	0	0	0	valid measurement evidence, but not one of the five preselected families
orin_nx_hailo10_01/native_hailo10h_to_trt_resnet50_b082/20260702_035414	-	REJECT_FAILED_OR_EMPTY	False	3	0	0	0	3	0	3	0	0	no valid raw trace plus positive energy result
orin_nx_hailo10_01/native_hailo10h_to_trt_yolo26s_b036/20260702_035754	-	REJECT_FAILED_OR_EMPTY	False	3	0	0	0	3	0	3	0	0	no valid raw trace plus positive energy result
orin_nx_hailo10_01/native_hailo10h_to_trt_yolo26s_b038/20260702_040133	-	REJECT_FAILED_OR_EMPTY	False	3	0	0	0	3	0	3	0	0	no valid raw trace plus positive energy result
orin_nx_hailo10_01/native_hailo10h_to_trt_yolo26s_b038/20260703_141545	-	REVIEW_VALID_UNCURATED	False	3	3	3	2118443	0	5	0	0	0	valid measurement evidence, but not one of the five preselected families
orin_nx_hailo10_01/native_hailo10h_to_trt_yolo26s_b038/20260707_193546	-	REVIEW_VALID_UNCURATED	False	3	3	3	2118499	0	5	0	0	0	valid measurement evidence, but not one of the five preselected families
orin_nx_hailo10_01/native_hailo10h_to_trt_yolo26s_b038/20260708_231356	-	REVIEW_VALID_UNCURATED	False	3	3	3	2118457	0	5	0	0	0	valid measurement evidence, but not one of the five preselected families
orin_nx_hailo10_01/native_hailo10h_to_trt_yolo26s_b038/20260709_122306	-	REVIEW_VALID_UNCURATED	False	3	3	3	2118454	0	5	0	0	0	valid measurement evidence, but not one of the five preselected families
orin_nx_hailo10_01/native_hailo10h_to_trt_yolo26s_b038/20260710_004557	-	REVIEW_VALID_UNCURATED	False	3	3	3	2110799	0	5	0	0	0	valid measurement evidence, but not one of the five preselected families
orin_nx_hailo10_01/native_hailo10h_to_trt_yolo26s_b038/20260710_154938	-	REVIEW_VALID_UNCURATED	False	3	3	3	2100111	0	5	0	0	0	valid measurement evidence, but not one of the five preselected families
orin_nx_hailo10_01/native_hailo10h_to_trt_yolo26s_b038/20260711_002531	-	REVIEW_VALID_UNCURATED	False	3	3	3	2100083	0	5	0	0	0	valid measurement evidence, but not one of the five preselected families
orin_nx_hailo10_01/native_hailo10h_to_trt_yolo26s_b038/20260712_103318	-	REVIEW_VALID_UNCURATED	False	3	3	3	2105237	0	5	0	0	0	valid measurement evidence, but not one of the five preselected families
orin_nx_hailo10_01/native_hailo10h_to_trt_yolo26s_b038/20260716_205859	-	REVIEW_VALID_UNCURATED	False	3	3	3	2009343	0	5	0	0	0	valid measurement evidence, but not one of the five preselected families
orin_nx_hailo10_01/native_hailo10h_to_trt_yolo26s_b038/20260717_074504	-	REVIEW_VALID_UNCURATED	False	3	3	3	2009251	0	5	0	0	0	valid measurement evidence, but not one of the five preselected families
orin_nx_hailo10_01/native_hailo10h_to_trt_yolo26s_b038_orin_nx_hailo10_01/20260717_182551	-	REVIEW_VALID_UNCURATED	False	3	3	3	2110445	0	5	0	0	0	valid measurement evidence, but not one of the five preselected families
orin_nx_hailo10_01/native_hailo10h_to_trt_yolo26s_b038_orin_nx_hailo10_01/20260717_213114	-	REVIEW_VALID_UNCURATED	False	1	1	1	700884	0	3	0	0	0	valid measurement evidence, but not one of the five preselected families
orin_nx_hailo10_01/native_hailo10h_to_trt_yolo26s_b038_orin_nx_hailo10_01/20260718_072121	-	REVIEW_VALID_UNCURATED	False	1	1	1	700892	0	3	0	0	0	valid measurement evidence, but not one of the five preselected families
orin_nx_hailo10_01/native_native_full_hailo10h_resnet50_full/20260702_115032	-	REJECT_FAILED_OR_EMPTY	False	3	0	0	0	3	0	3	0	0	no valid raw trace plus positive energy result
orin_nx_hailo10_01/native_native_full_hailo10h_resnet50_full/20260702_120608	-	REJECT_FAILED_OR_EMPTY	False	3	0	0	0	3	0	3	0	0	no valid raw trace plus positive energy result
orin_nx_hailo10_01/native_native_full_hailo10h_resnet50_full/20260703_143359	-	REVIEW_VALID_UNCURATED	False	3	3	3	1963247	0	5	0	0	0	valid measurement evidence, but not one of the five preselected families
orin_nx_hailo10_01/native_native_full_hailo10h_resnet50_full/20260707_195402	-	REVIEW_VALID_UNCURATED	False	3	3	3	2009491	0	5	0	0	0	valid measurement evidence, but not one of the five preselected families
orin_nx_hailo10_01/native_native_full_hailo10h_resnet50_full/20260708_233211	-	REVIEW_VALID_UNCURATED	False	3	3	3	2009467	0	5	0	0	0	valid measurement evidence, but not one of the five preselected families
orin_nx_hailo10_01/native_native_full_hailo10h_resnet50_full/20260709_124122	-	REVIEW_VALID_UNCURATED	False	3	3	3	2009663	0	5	0	0	0	valid measurement evidence, but not one of the five preselected families
orin_nx_hailo10_01/native_native_full_hailo10h_resnet50_full/20260710_010752	-	REVIEW_VALID_UNCURATED	False	3	3	3	2009499	0	5	0	0	0	valid measurement evidence, but not one of the five preselected families
orin_nx_hailo10_01/native_native_full_hailo10h_resnet50_full/20260710_161131	-	REVIEW_VALID_UNCURATED	False	3	3	3	2009467	0	5	0	0	0	valid measurement evidence, but not one of the five preselected families
orin_nx_hailo10_01/native_native_full_hailo10h_resnet50_full/20260711_004725	-	REVIEW_VALID_UNCURATED	False	3	3	3	2009463	0	5	0	0	0	valid measurement evidence, but not one of the five preselected families
orin_nx_hailo10_01/native_native_full_hailo10h_resnet50_full/20260717_080318	-	REVIEW_VALID_UNCURATED	False	3	3	3	2009347	0	5	0	0	0	valid measurement evidence, but not one of the five preselected families
orin_nx_hailo10_01/native_native_full_hailo10h_resnet50_full_orin_nx_hailo10_01/20260717_212842	-	REVIEW_VALID_UNCURATED	False	1	1	1	669945	0	3	0	0	0	valid measurement evidence, but not one of the five preselected families
orin_nx_hailo10_01/native_native_full_hailo10h_resnet50_full_orin_nx_hailo10_01/20260718_071849	-	REVIEW_VALID_UNCURATED	False	1	1	1	669937	0	3	0	0	0	valid measurement evidence, but not one of the five preselected families
orin_nx_hailo10_01/native_native_full_hailo10h_yolo26s_full/20260703_143738	-	REVIEW_VALID_UNCURATED	False	3	3	3	2009299	0	5	0	0	0	valid measurement evidence, but not one of the five preselected families
orin_nx_hailo10_01/native_native_full_hailo10h_yolo26s_full/20260707_195741	-	REVIEW_VALID_UNCURATED	False	3	3	3	2009447	0	5	0	0	0	valid measurement evidence, but not one of the five preselected families
orin_nx_hailo10_01/native_native_full_hailo10h_yolo26s_full/20260708_233550	-	REVIEW_VALID_UNCURATED	False	3	3	3	2009659	0	5	0	0	0	valid measurement evidence, but not one of the five preselected families
orin_nx_hailo10_01/native_native_full_hailo10h_yolo26s_full/20260709_124501	-	REVIEW_VALID_UNCURATED	False	3	3	3	2009479	0	5	0	0	0	valid measurement evidence, but not one of the five preselected families
